2020-08-04 08:55:11.224 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.kalvin.kvf.KvfAdminApplicationTests], using SpringBootContextLoader
2020-08-04 08:55:11.238 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.kalvin.kvf.KvfAdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-08-04 08:55:11.239 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.kalvin.kvf.KvfAdminApplicationTests]: KvfAdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-08-04 08:55:11.416 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.kalvin.kvf.KvfAdminApplication for test class com.kalvin.kvf.KvfAdminApplicationTests
2020-08-04 08:55:11.520 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-08-04 08:55:11.540 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2254127a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@51891008, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2f953efd, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@f68f0dc, org.springframework.test.context.support.DirtiesContextTestExecutionListener@d2de489, org.springframework.test.context.transaction.TransactionalTestExecutionListener@14bdbc74, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@12591ac8, org.springframework.test.context.event.EventPublishingTestExecutionListener@5a7fe64f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@38145825, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@41330d4f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1b66c0fb, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3e0e1046, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@24c1b2d2]
2020-08-04 08:55:11.565 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.kalvin.kvf.KvfAdminApplicationTests], using SpringBootContextLoader
2020-08-04 08:55:11.568 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.kalvin.kvf.KvfAdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-08-04 08:55:11.568 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.kalvin.kvf.KvfAdminApplicationTests]: KvfAdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-08-04 08:55:11.571 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.kalvin.kvf.KvfAdminApplication for test class com.kalvin.kvf.KvfAdminApplicationTests
2020-08-04 08:55:11.573 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-08-04 08:55:11.573 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4e0ae11f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@238d68ff, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4b86805d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5852c06f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4149c063, org.springframework.test.context.transaction.TransactionalTestExecutionListener@9cb8225, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@76b07f29, org.springframework.test.context.event.EventPublishingTestExecutionListener@38af9828, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@376a0d86, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@62656be4, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@17d919b6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@53f3bdbd, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@34129c78]
2020-08-04 12:14:49.995 [main] INFO  o.s.b.devtools.restart.RestartApplicationListener - Restart disabled due to an agent-based reloader being active
2020-08-04 12:16:20.865 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.kalvin.kvf.KvfAdminApplicationTests], using SpringBootContextLoader
